#TYPE System.Management.Automation.PSCustomObject
"Name","Total CPU Sockets","Cores Per Socket"
"bhmhvsrv002.me.emh.org","2","6"
"bhmhvsrv001.me.emh.org","2","6"
"bhmhvsrv003.me.emh.org","2","6"
"cadeanvsrv001.me.emh.org","1","6"
"bgrvtest-a01.me.emh.org","2","10"
"bgrvtest-b01.me.emh.org","2","10"
"bgrvtest-c01.me.emh.org","2","10"
"balboa.me.emh.org","2","8"
"beltra.me.emh.org","2","12"
"babcock.me.emh.org","2","8"
"bentong.me.emh.org","2","12"
"ball.me.emh.org","2","4"
"bar.me.emh.org","2","4"
"bath.me.emh.org","2","4"
"beagle.me.emh.org","2","4"
"ucsb-esx010.me.emh.org","2","8"
"ucsb-esx007.me.emh.org","2","8"
"ucsb-esx005.me.emh.org","2","8"
"ucsb-esx013.me.emh.org","2","8"
"bell.me.emh.org","2","8"
"ucsb-esx008.me.emh.org","2","8"
"beta.me.emh.org","2","12"
"ucsb-esx006.me.emh.org","2","8"
"beals.me.emh.org","2","12"
"beckett.me.emh.org","2","12"
"beecher.me.emh.org","2","12"
"ucsb-esx012.me.emh.org","2","8"
"thallo.me.emh.org","2","6"
"clonia.me.emh.org","2","6"
"miiesx4.me.emh.org","2","6"
"miiesx3.me.emh.org","2","6"
"miiesx2.me.emh.org","2","6"
"miiesx1.me.emh.org","2","6"
"ucsb-esx011.me.emh.org","2","8"
"ucsb-esx009.me.emh.org","2","8"
"amphion.me.emh.org","2","6"
"butes.me.emh.org","2","6"
"dunkel.me.emh.org","2","6"
"doppel.me.emh.org","2","6"
"weizen.me.emh.org","2","6"
"witbier.me.emh.org","2","6"
"cascade.me.emh.org","2","4"
"citra.me.emh.org","2","4"
"barto.me.emh.org","2","12"
"bayer.me.emh.org","2","12"
"adonis.me.emh.org","2","6"
"calydon.me.emh.org","2","6"
"nemesis.me.emh.org","2","6"
"hera.me.emh.org","2","6"
"erginus.me.emh.org","2","6"
"bada.me.emh.org","2","8"
"bascom.me.emh.org","2","8"
"bahman.me.emh.org","2","8"
"basho.me.emh.org","2","12"
"berkner.me.emh.org","2","12"
"baco.me.emh.org","2","8"
"ucsb-esx004.me.emh.org","2","8"
"indlvsrv002.me.emh.org","2","6"
"indlvsrv003.me.emh.org","2","6"
"indlvsrv001.me.emh.org","2","6"
"indlvsrv004.me.emh.org","2","6"
"seneca.me.emh.org","2","8"
"mp-entvm02.me.emh.org","2","4"
"mp-entvm03.me.emh.org","2","4"
"mp-entvm01.me.emh.org","2","4"
"mp-entvm04.me.emh.org","2","4"
"mpm-frh-esx04.emhs.org","2","4"
"mpm-frh-esx03.emhs.org","2","4"
"mpm-ssh-esx02.emhs.org","2","4"
"mpm-ssh-esx01.emhs.org","2","4"
"mpmmeesx5a01.me.emh.org","4","10"
"mpmmeesx5a02.me.emh.org","4","10"
"mpmmeesx5a03.me.emh.org","4","10"
"bgrv014-dmz.me.emh.org","2","14"
"bgrv015-dmz.me.emh.org","2","14"
"bgrv005.me.emh.org","2","12"
"bgrv006.me.emh.org","2","12"
"bgrv007.me.emh.org","2","12"
"bgrv004.me.emh.org","2","12"
"bgrv008.me.emh.org","2","12"
"bgrv002.me.emh.org","2","12"
"bgrv001.me.emh.org","2","12"
"bgrv003.me.emh.org","2","12"
"brnv001-dmz.me.emh.org","2","8"
"brnv002-dmz.me.emh.org","2","8"
"brnv003.me.emh.org","2","8"
"brnv004.me.emh.org","2","8"
"brnv005.me.emh.org","2","8"
"brnv006.me.emh.org","2","8"
"brnv007.me.emh.org","2","12"
"brnv008.me.emh.org","2","12"
"brnv009.me.emh.org","2","12"
"brnv010.me.emh.org","2","12"
"brnv011.me.emh.org","2","12"
"brnv001.me.emh.org","2","8"
"brnv002.me.emh.org","2","8"
"brnsqlv001.me.emh.org","2","4"
"brnsqlv002.me.emh.org","2","4"
"brnsqlv004.me.emh.org","2","4"
"brnsqlv003.me.emh.org","2","4"
"svh-esxi01.me.emh.org","2","6"
"svh-esxi02.me.emh.org","2","6"
"svh-esxi03.me.emh.org","2","6"
"tamcesxi2.me.emh.org","2","4"
"tamcesxi1.me.emh.org","2","4"
"tamcvsrv003.me.emh.org","2","6"
"tamcvsrv004.me.emh.org","2","6"
"tamcvsrv002.me.emh.org","2","6"
"tamcvsrv001.me.emh.org","2","6"
"tamcvsrv005.me.emh.org","2","6"
"tamcvsrv006.me.emh.org","2","6"
"tamcvsrv008.me.emh.org","2","6"
"tamcvsrv007.me.emh.org","2","6"
